Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,
,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,
,,,,,,,,,,,,
"Алфавитный список ГОРОДОВ, названия которых не совпадают с названиями станций",,,,,,,,,,,,
,,,,,,,,,,,,
№ п/п,Город,Регион,ж.д. Станция,Дорога,,,,,,,,
  705.,Севск,"Брянская обл., Россия",204709  Комаричи - 45 км,17  Моск (Р),,,,,,,,
  706.,Седнев (пгт),"Черниговская обл., Украина",325000  Чернигов - 25 км,32  Ю-Зап (У),,,,,,,,
  707.,Семеновка (пгт),"Полтавская обл., Украина",427505  Веселый Подол - 0 км,43  Южн (У),,,,,,,,
  708.,Сенгилей,"Ульяновская обл., Россия",644606  Красный Гуляй - 45 км,63  Кбш (Р),,,,,,,,
  709.,Сенно,"Витебская обл., Белоруссия",168606  Бурбин - 15 км,13  Бел,,,,,,,,
  710.,Сиазань,Азербайджан,545805  Кизил-Бурун - 0 км,55  Азерб,,,,,,,,
  711.,Сигнахи,Республика Грузия,562105  Цнорис-Цхали - 6 км,57  Грз,,,,,,,,
  712.,Силламяэ,Эстония,083605  Вайвара - 4 км,08  Эст,,,,,,,,
  713.,Синегорский (пгт),"Ростовская обл., Россия",587704  Белая Калитва - 31 км,51  С-Кав (Р),,,,,,,,
  714.,Синегорский (пгт),"Свердловская обл., Россия",770103  Нижний Тагил - 30 км,76  Сверд (Р),,,,,,,,
  715.,Славгород,"Могилевская обл.,",158209  Кричев I - 58 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  716.,Славгород,"Могилевская обл.,",158820  Кричев II - 58 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  717.,Славянск-на-Кубани,"Краснодарский край, Россия",522108  Протока - 0 км,51  С-Кав (Р),,,,,,,,
  718.,Слобода (пгт),"Воронежская обл., Россия",582804  Хреновая - 0 км,58  Ю-Вост (Р),,,,,,,,
  719.,Слобозия,Республика Молдова,390103  Тираспол - 16 км,39  Млд,,,,,,,,
  720.,Смела,"Черкасская обл., Украина",420008  Им. Тараса Шевченко - 2 км,40  Од (У),,,,,,,,
  721.,Смотрич (пгт),"Хмельницкая обл., Украина",333204  Балин - 8 км,32  Ю-Зап (У),,,,,,,,
  722.,Снежное,"Донецкая обл., Украина",503408  Софьино-Бродская - 0 км,48  Дон (У),,,,,,,,
  723.,Собинка,"Владимирская обл., Россия",262403  Ундол - 2 км,24  Горьк (Р),,,,,,,,
  724.,Советобад,"Андижанская обл.,",559300  Ханабад - 0 км,55  Азерб,,,,,,,,
,,Узбекистан,,,,,,,,,,
  725.,Советск,"Тульская обл., Россия",214109  Щекино - 18 км,17  Моск (Р),,,,,,,,
  726.,Советская Гавань,"Хабаровский край, Россия",968406  Советская Гавань-Город - 0 км,96  Д-Вост (Р),,,,,,,,
  727.,Советский,"Республика Крым, Украина",472106  Краснофлотская - 0 км,45  Придн (У),,,,,,,,
  728.,Советский (пгт),"Тюменская обл., Россия",778509  Верхнекондинская - 0 км,76  Сверд (Р),,,,,,,,
  729.,Сокол,"Вологодская обл., Россия",300605  Сухона - 2 км,28  Сев (Р),,,,,,,,
  730.,Сокол,"Саратовская обл., Россия",623600  Жасминная - 0 км,61  Прив (Р),,,,,,,,
  731.,Сокол,"Вологодская обл., Россия",300709  Печаткино - 6 км,28  Сев (Р),,,,,,,,
  732.,Соледар,"Донецкая обл., Украина",496204  Деконская - 0 км,48  Дон (У),,,,,,,,
  733.,Солигорск,"Минская обл., Белоруссия",148227  Солигорск - 0 км,13  Бел,,,,,,,,
  734.,Солигорск,"Минская обл., Белоруссия",148208  Калий I - 0 км,13  Бел,,,,,,,,
  735.,Солигорск,"Минская обл., Белоруссия",148301  Калий III - 0 км,13  Бел,,,,,,,,
  736.,Солнечногорск,"Московская обл., Россия",060800  Подсолнечная - 0 км,01  Окт (Р),,,,,,,,
  737.,Солоницевка (пгт),"Харьковская обл., Украина",441004  Куряж - 3 км,43  Южн (У),,,,,,,,
  738.,Соль-Илецк,"Оренбургская обл., Россия",666906  Илецк I - 0 км,68  Кзх,,,,,,,,
  739.,Сольвычегодск,"Архангельская обл., Россия",280100  Котлас-Южный - 18 км,28  Сев (Р),,,,,,,,
  740.,Сороки,Республика Молдова,395605  Флорешть - 40 км,39  Млд,,,,,,,,
  741.,Сорочинск,"Оренбургская обл., Россия",811201  Сорочинская - 0 км,80  Ю-Ур (Р),,,,,,,,
  742.,Сорск,"Республика Хакасия, Россия",885805  Ербинская - 6 км,88  Крас (Р),,,,,,,,
  743.,Сосница (пгт),"Черниговская обл., Украина",326605  Мена - 18 км,32  Ю-Зап (У),,,,,,,,
  744.,Сосновка (пгт),"Тамбовская обл., Россия",604401  Челновая - 0 км,58  Ю-Вост (Р),,,,,,,,
  745.,Сосновое (пгт),"Ровенская обл., Украина",356901  Моквин - 47 км,35  Льв (У),,,,,,,,
  746.,Сояногорск,"Республика Хакасия, Россия",887603  Камышта - 0 км,88  Крас (Р),,,,,,,,
  747.,Спасск-Рязанский,"Рязанская обл., Россия",220720  Ясаково - 10 км,17  Моск (Р),,,,,,,,
  748.,Среднеуральск,"Свердловская обл., Россия",780209  Шувакиш - 6 км,76  Сверд (Р),,,,,,,,
  749.,Ставище (пгт),"Киевская обл., Украина",338509  Жашков - 17 км,32  Ю-Зап (У),,,,,,,,
  750.,Старая Выжевка (пгт),"Волынская обл., Украина",354408  Выжва (рзд) - 13 км,35  Льв (У),,,,,,,,
  751.,Старая Синява (пгт),"Хмельницкая обл., Украина",337604  Адамполь - 12 км,32  Ю-Зап (У),,,,,,,,
  752.,Старобешево,"Донецкая обл., Украина",483609  Менчугово - 18 км,48  Дон (У),,,,,,,,
  753.,Старопышминск,"Свердловская обл., Россия",785005  Березит - 13 км,76  Сверд (Р),,,,,,,,
  754.,Староутинск (пгт),"Свердловская обл., Россия",783404  Уткинский Завод - 6 км,76  Сверд (Р),,,,,,,,
  755.,Старый Крым,"Республика Крым, Украина",471601  Феодосия - 26 км,45  Придн (У),,,,,,,,
  756.,Старый Мерчик (пгт),"Харьковская обл., Украина",446807  Мерчик - 0 км,43  Южн (У),,,,,,,,
  757.,Стаучень (пгт),Республика Молдова,391207  Кишинэу - 5 км,39  Млд,,,,,,,,
  758.,Степановка (пгт),"Сумская обл., Украина",445202  Торопиловка - 4 км,43  Южн (У),,,,,,,,
  759.,Степань (пгт),"Ровенская обл., Украина",357001  Малынск - 19 км,35  Льв (У),,,,,,,,
  760.,Степногорск,"Запорожская обл., Украина",461807  Плавни - 5 км,45  Придн (У),,,,,,,,
  761.,Степногорск,"Кустанайская обл.,",693903  Алтынтау - 18 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  762.,Степное,"Запорожская обл., Украина",463605  Растущая - 2 км,45  Придн (У),,,,,,,,
  763.,Стрелица (пгт),"Воронежская обл., Россия",596205  Латная - 9 км,58  Ю-Вост (Р),,,,,,,,
  764.,Суворов,"Тульская обл., Россия",212705  Збродово - 3 км,17  Моск (Р),,,,,,,,
  765.,Судак (пгт),"Республика Крым, Украина",471601  Феодосия - 55 км,45  Придн (У),,,,,,,,
  766.,Суксун (пгт),"Пермская обл., Россия",763805  Кишерть - 35 км,76  Сверд (Р),,,,,,,,
  767.,Суксун (пгт),"Пермская обл., Россия",763701  Кунгур - 55 км,76  Сверд (Р),,,,,,,,
  768.,Сумгаит,Азербайджан,546441  Сумгаит-Город - 0 км,55  Азерб,,,,,,,,
  769.,Сумгаит,Азербайджан,546418  Сумгаит-Чай - 0 км,55  Азерб,,,,,,,,
  770.,Сумгаит,Азербайджан,546403  Сумгаит - 5 км,55  Азерб,,,,,,,,
  771.,Сумкино (пгт),"Тюменская обл., Россия",796103  Тобольск - 28 км,76  Сверд (Р),,,,,,,,
  772.,Сураж (пгт),"Витебская обл., Белоруссия",160002  Витебск - 43 км,13  Бел,,,,,,,,
  773.,Сурск,"Пензенская обл., Россия",634500  Асеевская - 3 км,63  Кбш (Р),,,,,,,,
  774.,Сутиски (пгт),"Винницкая обл., Украина",335604  Гнивань - 9 км,32  Ю-Зап (У),,,,,,,,
  775.,Суходольск,"Луганская обл., Украина",505009  Краснодон - 0 км,48  Дон (У),,,,,,,,
  776.,Сухой Лог,"Свердловская обл., Россия",784500  Кунара - 2 км,76  Сверд (Р),,,,,,,,
  777.,Счастье,"Луганская обл., Украина",507704  Огородный - 4 км,48  Дон (У),,,,,,,,
  778.,Сынжерей,Республика Молдова,393309  Бэлць-Слобозия - 26 км,39  Млд,,,,,,,,
  779.,Сырдарья (пгт),"Сырдарьинская обл.,",724707  Сырдарьинская - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  780.,Сырский (пгт),"Липецкая обл., Россия",592505  Липецк - 10 км,58  Ю-Вост (Р),,,,,,,,
  781.,Сясьстрой (п),"Ленинградская обл., Россия",048705  Лунгачи - 6 км,01  Окт (Р),,,,,,,,
  782.,Таврийск,"Херсонская обл., Украина",416801  Каховка - 1 км,40  Од (У),,,,,,,,
  783.,Таежный (пгт),"Тюменская обл., Россия",778105  Таёжный - 0 км,76  Сверд (Р),,,,,,,,
  784.,Талдыкурган,Казахстан,701809  Талдыкорган - 0 км,68  Кзх,,,,,,,,
  785.,Тальменка (пгт),"Алтайский край, Россия",840908  Усть-Тальменская - 0 км,83  З-Сиб (Р),,,,,,,,
  786.,Тараз,"Жамбылская обл., Казахстан",706304  Тараз - 0 км,68  Кзх,,,,,,,,
  787.,Тараща,"Киевская обл., Украина",344209  Ольшаница - 20 км,32  Ю-Зап (У),,,,,,,,
  788.,Таруса,"Калужская обл., Россия",210907  Тарусская - 14 км,17  Моск (Р),,,,,,,,
  789.,Темников,"Республика Мордовия,",640605  Торбеево - 71 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  790.,Теофиполь (пгт),"Хмельницкая обл., Украина",340301  Суховолье - 30 км,32  Ю-Зап (У),,,,,,,,
  791.,Теребовля,"Тернопольская обл.,",362902  Теребовля - 0 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  792.,Терек,Кабардино-Балкарская,538002  Муртазово - 0 км,51  С-Кав (Р),,,,,,,,
,,"Республика, Россия",,,,,,,,,,
  793.,Терновка,"Днепропетровская обл.,",454502  Павлоград I - 17 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  794.,Токмак,"Запорожская обл., Украина",477307  Большой Токмак - 0 км,45  Придн (У),,,,,,,,
  795.,Толстое (пгт),"Тернопольская обл.,",365008  Товстэ - 0 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  796.,Троицкий (пгт),"Свердловская обл., Россия",792600  Талица - 0 км,76  Сверд (Р),,,,,,,,
  797.,Троицкое (пгт),"Алтайский край, Россия",842509  Большая Речка - 0 км,83  З-Сиб (Р),,,,,,,,
  798.,Тростянец,"Сумская обл., Украина",446008  Тростянец-Смородино - 0 км,43  Южн (У),,,,,,,,
  799.,Трубчевск,"Брянская обл., Россия",204200  Суземка - 35 км,17  Моск (Р),,,,,,,,
  800.,Тульчин,"Винницкая обл., Украина",331406  Журавлевка - 13 км,32  Ю-Зап (У),,,,,,,,
  801.,Туринск,"Свердловская обл., Россия",788107  Туринск-Уральский - 0 км,76  Сверд (Р),,,,,,,,
  802.,Турткуль,"Республика Каракалпакстан,",738305  Ургенч - 30 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  803.,Тывров (пгт),"Винницкая обл., Украина",335604  Гнивань - 16 км,32  Ю-Зап (У),,,,,,,,
  804.,Тырныауз,Кабардино-Балкарская,537902  Нальчик - 89 км,51  С-Кав (Р),,,,,,,,
,,"Республика, Россия",,,,,,,,,,
  805.,Тюлькино (пгт),"Пермская обл., Россия",769604  Соликамск - 30 км,76  Сверд (Р),,,,,,,,
  806.,Уваровичи (пгт),"Гомельская обл.,",155305  Уза - 8 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  807.,Уварово,"Тамбовская обл., Россия",602001  Обловка - 0 км,58  Ю-Вост (Р),,,,,,,,
  808.,Углегорский (пгт),"Ростовская обл., Россия",588105  Тацинская - 6 км,51  С-Кав (Р),,,,,,,,
  809.,Углеродовский (пгт),"Ростовская обл., Россия",580300  Замчалово - 2 км,51  С-Кав (Р),,,,,,,,
  810.,Углеуральск,"Пермская обл., Россия",768207  Углеуральская - 0 км,76  Сверд (Р),,,,,,,,
  811.,Узин,"Киевская обл., Украина",344001  Сухолесы - 10 км,32  Ю-Зап (У),,,,,,,,
  812.,Узловое (пгт),"Закарпатская обл., Украина",382501  Батево - 0 км,35  Льв (У),,,,,,,,
  813.,Узун,"Сурхандарьинская обл.,",736102  Сарыасия - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  814.,Украинка,"Киевская обл., Украина",344707  Триполье-Днепровское - 0 км,32  Ю-Зап (У),,,,,,,,
  815.,Украинск,"Донецкая обл., Украина",481105  Цукуриха - 4 км,48  Дон (У),,,,,,,,
  816.,Урай,"Тюменская обл., Россия",788906  Устье-Аха - 162 км,76  Сверд (Р),,,,,,,,
  817.,Уралец (пгт),"Свердловская обл., Россия",770103  Нижний Тагил - 35 км,76  Сверд (Р),,,,,,,,
  818.,Уральский (пгт),"Пермская обл., Россия",762802  Сукманы - 7 км,76  Сверд (Р),,,,,,,,
  819.,Урюпинск,"Волгоградская обл., Россия",613006  Урюпино - 0 км,61  Прив (Р),,,,,,,,
  820.,Усолье,"Пермская обл., Россия",769303  Березники - 7 км,76  Сверд (Р),,,,,,,,
  821.,Успенская,"Краснодарский край, Россия",530405  Коноково - 7 км,51  С-Кав (Р),,,,,,,,
  822.,Усть-Кут,"Иркутская обл., Россия",927035  Усть-Кут - 0 км,92  В-Сиб (Р),,,,,,,,
  823.,Усть-Кут,"Иркутская обл., Россия",927105  Лена - 0 км,92  В-Сиб (Р),,,,,,,,
  824.,Ушачи (пгт),"Витебская обл., Белоруссия",161306  Полоцк - 45 км,13  Бел,,,,,,,,
  825.,Фатеж,"Курская обл., Россия",217304  Золотухино - 35 км,17  Моск (Р),,,,,,,,
  826.,Федоровка,"Кустанайская обл.,",684603  Джаркуль - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  827.,Феодосия,"Республика Крым, Украина",471809  Айвазовская - 4 км,45  Придн (У),,,,,,,,
  828.,Физули,Азербайджан,551806  Горадиз - 32 км,55  Азерб,,,,,,,,
  829.,Форносово (пгт),"Ленинградская обл., Россия",032302  Новолисино - 0 км,01  Окт (Р),,,,,,,,
  830.,Фролово,"Волгоградская обл., Россия",613805  Арчеда - 0 км,61  Прив (Р),,,,,,,,
  831.,Фрунзе,Республика Молдова,394208  Гырбова - 0 км,39  Млд,,,,,,,,
  832.,Хаапсалу,Эстония,080607  Рийзипере - 54 км,08  Эст,,,,,,,,
  833.,Хабаровск,"Хабаровский край, Россия",970001  Хабаровск II - 10 км,96  Д-Вост (Р),,,,,,,,
  834.,Хабаровск,"Хабаровский край, Россия",970406  Хабаровск I - 0 км,96  Д-Вост (Р),,,,,,,,
  835.,Халкабад (пгт),"Наманганская обл.,",740702  Пап - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  836.,Хамза,"Ферганская обл.,",742404  Алтыарык - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  837.,Ханлар,Азербайджан,556208  Гянджа - 15 км,55  Азерб,,,,,,,,
  838.,Хвалынск,"Саратовская обл., Россия",624509  Возрождение - 35 км,61  Прив (Р),,,,,,,,
  839.,Хвалынск,"Саратовская обл., Россия",624405  Кулатка (рзд) - 24 км,61  Прив (Р),,,,,,,,
  840.,Хива,"Хорезмская обл.,",738305  Ургенч - 30 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  841.,Холмы (пгт),"Черниговская обл., Украина",326802  Корюковка - 30 км,32  Ю-Зап (У),,,,,,,,
  842.,Хотин,"Черновицкая обл., Украина",332907  Каменец-Подольский - 20 км,32  Ю-Зап (У),,,,,,,,
  843.,Хынчешть,Республика Молдова,391207  Кишинэу - 36 км,39  Млд,,,,,,,,
  844.,Цагери (пгт),Республика Грузия,575001  Цхалтубо - 70 км,57  Грз,,,,,,,,
  845.,Цементный (пгт),"Свердловская обл., Россия",770809  Невьянск - 4 км,76  Сверд (Р),,,,,,,,
  846.,Центральный-Коспашский,"Пермская обл., Россия",768404  Кизел - 10 км,76  Сверд (Р),,,,,,,,
,(пгт),,,,,,,,,,,
  847.,Цимлянск,"Ростовская обл., Россия",519904  Цимлянская - 0 км,51  С-Кав (Р),,,,,,,,
  848.,Чайковский,"Пермская обл., Россия",256703  Сайгатка - 0 км,24  Горьк (Р),,,,,,,,
  849.,Чапаева (пгт),"Полтавская обл., Украина",448906  Кочубеевка - 0 км,43  Южн (У),,,,,,,,
  850.,Чаплыгин,"Липецкая обл., Россия",603409  Раненбург - 0 км,58  Ю-Вост (Р),,,,,,,,
  851.,Чекалин,"Тульская обл., Россия",212902  Черепеть - 7 км,17  Моск (Р),,,,,,,,
  852.,Чемеровцы (пгт),"Хмельницкая обл., Украина",333401  Закупное - 15 км,32  Ю-Зап (У),,,,,,,,
  853.,Червоноармейск (пгт),"Житомирская обл., Украина",348106  Курное - 15 км,32  Ю-Зап (У),,,,,,,,
  854.,Червоное (пгт),"Сумская обл., Украина",329800  Эсмань - 6 км,32  Ю-Зап (У),,,,,,,,
  855.,Червоное (пгт),"Житомирская обл., Украина",343009  Андрушовка - 18 км,32  Ю-Зап (У),,,,,,,,
  856.,Червонопартизанск,"Луганская обл., Украина",500804  Красная Могила - 0 км,48  Дон (У),,,,,,,,
  857.,Чердынь,"Пермская обл., Россия",769604  Соликамск - 102 км,76  Сверд (Р),,,,,,,,
  858.,Черемхово (пгт),"Свердловская обл., Россия",775709  Бокситы - 33 км,76  Сверд (Р),,,,,,,,
  859.,Чериков,"Могилевская обл.,",158209  Кричев I - 32 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  860.,Чериков,"Могилевская обл.,",158820  Кричев II - 32 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  861.,Чермоз,"Пермская обл., Россия",764901  Добрянка - 70 км,76  Сверд (Р),,,,,,,,
  862.,Чернелица (пгт),"Ивано-Франковская обл.,",389002  Городенка-Завод - 22 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  863.,Черногорск,"Республика Хакасия.,",888004  Абакан - 18 км,88  Крас (Р),,,,,,,,
,,Россия,,,,,,,,,,
  864.,Чернозаводское,"Полтавская обл., Украина",426704  Сула - 0 км,43  Южн (У),,,,,,,,
  865.,Черноисточник (пгт),"Свердловская обл., Россия",770103  Нижний Тагил - 20 км,76  Сверд (Р),,,,,,,,
  866.,Черняхов (пгт),"Житомирская обл., Украина",345803  Горбаши - 0 км,32  Ю-Зап (У),,,,,,,,
  867.,Чигирин,"Черкасская обл., Украина",423108  Фундуклеевка - 36 км,40  Од (У),,,,,,,,
  868.,Чистополь,"Республика Татарстан,",646902  Нурлат - 125 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  869.,Чита,"Читинская обл., Россия",940010  Чита II - 0 км,94  Заб (Р),,,,,,,,
  870.,Чкаловское (пгт),"Харьковская обл., Украина",430601  Граково - 12 км,43  Южн (У),,,,,,,,
  871.,Чоповичи (пгт),"Житомирская обл., Украина",347300  Чеповичи - 6 км,32  Ю-Зап (У),,,,,,,,
  872.,Чуднов (пгт),"Житомирская обл., Украина",342108  Чуднов-Волынский - 5 км,32  Ю-Зап (У),,,,,,,,
  873.,Чудово,"Новгородская обл., Россия",042003  Чудово-Московское - 0 км,01  Окт (Р),,,,,,,,
  874.,Чусовой,"Пермская обл., Россия",767308  Чусовская - 0 км,76  Сверд (Р),,,,,,,,
  875.,Шабровский (пгт),"Свердловская обл., Россия",781108  Сысерть - 4 км,76  Сверд (Р),,,,,,,,
  876.,Шалыгино (пгт),"Сумская обл., Украина",209810  Крупец - 12 км,17  Моск (Р),,,,,,,,
  877.,Шаргород (пгт),"Винницкая обл., Украина",331707  Ярошенка - 25 км,32  Ю-Зап (У),,,,,,,,
  878.,Шаровка (пгт),"Харьковская обл., Украина",446525  Гавриши - 13 км,43  Южн (У),,,,,,,,
  879.,Шарур (пгт),Нахичеванская автономная,550502  Шарур - 0 км,55  Азерб,,,,,,,,
,,"Республика, Азербайджан",,,,,,,,,,
  880.,Шахрисабз,"Кашкадарьинская обл.,",734107  Китаб - 5 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  881.,Шахта (пгт),"Пермская обл., Россия",768404  Кизел - 6 км,76  Сверд (Р),,,,,,,,
  882.,Шахтерск,"Донецкая обл., Украина",489501  Постниково - 0 км,48  Дон (У),,,,,,,,
  883.,Шахтинск,"Карагандинская обл.,",675407  Карабас - 28 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  884.,Шахтный (пгт),"Пермская обл., Россия",768008  Половинка-Чусовская - 0 км,76  Сверд (Р),,,,,,,,
  885.,Шахты,"Ростовская обл., Россия",512801  Шахтная - 0 км,51  С-Кав (Р),,,,,,,,
  886.,Шацк,"Рязанская обл., Россия",221808  Нижнемальцево - 30 км,17  Моск (Р),,,,,,,,
  887.,Шелехов,"Иркутская обл., Россия",932902  Гончарово - 0 км,92  В-Сиб (Р),,,,,,,,
  888.,Шимановск,"Амурская обл., Россия",953203  Шимановская - 0 км,94  Заб (Р),,,,,,,,
  889.,Широкая Речка (пгт),"Свердловская обл., Россия",780506  Екатеринбург-Пассажирский -,76  Сверд (Р),,,,,,,,
,,, 10 км,,,,,,,,,
  890.,Широковский (пгт),"Пермская обл., Россия",768008  Половинка-Чусовская - 22 км,76  Сверд (Р),,,,,,,,
  891.,Шкло (пгт),"Львовская обл., Украина",373305  Шкло-Старжиска - 4 км,35  Льв (У),,,,,,,,
  892.,Шолоховский (пгт),"Ростовская обл., Россия",587808  Грачи - 8 км,51  С-Кав (Р),,,,,,,,
  893.,Шпиков (пгт),"Винницкая обл., Украина",331603  Рахны - 8 км,32  Ю-Зап (У),,,,,,,,
  894.,Шумихинский (пгт),"Пермская обл., Россия",767702  Усьва - 10 км,76  Сверд (Р),,,,,,,,
  895.,Шушенское (пгт),"Красноярский край, Россия",888305  Минусинск - 60 км,88  Крас (Р),,,,,,,,
  896.,Шушенское (пгт),"Красноярский край, Россия",888004  Абакан - 78 км,88  Крас (Р),,,,,,,,
  897.,Шяуляй,Литовская Республика,125808  Губерния - 0 км,12  Лит,,,,,,,,
  898.,Щорск (пгт),"Днепропетровская обл.,",458607  Божедаровка - 0 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  899.,Щучинск,"Кокчетавская обл.,",693000  Курорт-Боровое - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  900.,Энгельс,"Саратовская обл., Россия",625605  Покровск-Приволжский - 0 км,61  Прив (Р),,,,,,,,
  901.,Энгельс,"Саратовская обл., Россия",620004  Саратов I-Пассажирский - 15,61  Прив (Р),,,,,,,,
,,, км,,,,,,,,,
  902.,Энергетик (пгт),"Марыйская обл.,",755000  Алтын асыр - 0 км,75  Трк,,,,,,,,
,,Туркменистан,,,,,,,,,,
  903.,Юго-Коспашский (пгт),"Пермская обл., Россия",761104  Пермь II - 8 км,76  Сверд (Р),,,,,,,,
  904.,Южный-Коспашский (пгт),"Пермская обл., Россия",768404  Кизел - 18 км,76  Сверд (Р),,,,,,,,
  905.,Юрковка,"Запорожская обл., Украина",464006  Общая - 12 км,45  Придн (У),,,,,,,,
  906.,Юхнов,"Калужская обл., Россия",189301  Мятлевская - 35 км,17  Моск (Р),,,,,,,,
  907.,Яловень,Республика Молдова,391207  Кишинэу - 14 км,39  Млд,,,,,,,,
  908.,Ямполь (пгт),"Сумская обл., Украина",328600  Янполь - 6 км,32  Ю-Зап (У),,,,,,,,
  909.,Ямполь (пгт),"Хмельницкая обл., Украина",340208  Лепесовка - 2 км,32  Ю-Зап (У),,,,,,,,
  910.,Ямполь (пгт),"Винницкая обл., Украина",331904  Могилев-Подольский - 49 км,32  Ю-Зап (У),,,,,,,,
  911.,Янгиабад,"Ташкентская обл.,",722608  Ангрен - 22 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  912.,Янгиабад,"Ташкентская обл.,",723009  Ахангаран - 18 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  913.,Яновичи (пгт),"Витебская обл., Белоруссия",165701  Лиозно - 26 км,13  Бел,,,,,,,,
  914.,Ясное (пгт),"Хмельницкая обл., Украина",330306  Наркевичи - 0 км,32  Ю-Зап (У),,,,,,,,
  915.,Ясный (пгт),"Оренбургская обл., Россия",814903  Горный Лен - 2 км,80  Ю-Ур (Р),,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,
